cue1,targ1,font
angle,corner,flu
block,street,flu
throat ,voice ,flu
child,mother,flu
factory,product,flu
group,meeting,flu
native,foreign,flu
object,symbol,flu
people,world,flu
sheet,cover,flu
stick,branch,flu
taste,touch,flu
curve,shape,generate
engine,machine,generate
lunch,supper,generate
nation,state,generate
novel,story,generate
office,doctor ,generate
paint,picture,generate
range,rifle,generate
report,weather,generate
quarter,dollar,generate
college,student,generate
train,plane,generate
